data,abev3_sa_close,petr3_sa_close,vale3_sa_close
2017-01-02,16.309999,16.530001,25.059999
2017-01-03,16.639999,17.58,26.17
2017-01-04,16.51,17.370001,25.700001
2017-01-05,16.6,17.76,26.68
2017-01-06,16.459999,17.49,25.969999
2017-01-09,16.530001,17.32,26.5
2017-01-10,16.34,17.610001,28.540001
2017-01-11,16.41,18.049999,29.129999
2017-01-12,16.93,18.35,30.07
2017-01-13,17.110001,18.219999,30.98
2017-01-16,17.049999,18.25,31.82
2017-01-17,17.200001,18.17,30.57
2017-01-18,17.26,18.030001,32.110001
2017-01-19,17.299999,17.93,31.469999
2017-01-20,17.35,17.83,32.099998
2017-01-23,17.34,17.98,33.310001
2017-01-24,17.299999,17.73,34.130001
2017-01-26,17.309999,17.389999,33.599998
2017-01-27,17.32,17.08,33.700001
2017-01-30,16.969999,16.139999,32.25
2017-01-31,17.200001,16.190001,32.18
2017-02-01,17.32,16.120001,32.889999
2017-02-02,17.16,15.9,32.66
2017-02-03,17.35,16.34,30.610001
2017-02-06,17.07,15.97,29.92
2017-02-07,17.02,15.77,30.24
2017-02-08,16.959999,16.1,30.59
2017-02-09,16.889999,15.96,31.08
2017-02-10,17.139999,16.35,32.799999
2017-02-13,17.25,16.559999,35.810001
2017-02-14,17.379999,16.809999,34.400002
2017-02-15,18.02,16.860001,33.82
2017-02-16,17.969999,16.969999,33.77
2017-02-17,17.9,16.719999,34.07
2017-02-20,17.84,17.08,36.43
2017-02-21,18.07,17.16,35.540001
2017-02-22,18.280001,16.6,34.689999
2017-02-23,18.129999,16.48,33.169998
2017-02-24,17.84,15.96,32.720001
2017-03-01,17.91,16.43,33.169998
2017-03-02,17.209999,15.85,31.459999
2017-03-03,17.389999,15.95,31.82
2017-03-06,17.25,15.88,31.1
2017-03-07,16.82,15.88,30.92
2017-03-08,17.120001,14.9,30.120001
2017-03-09,17.299999,14.81,30.18
2017-03-10,17.299999,14.79,29.65
2017-03-13,17.360001,14.93,31.01
2017-03-14,17.1,14.37,31.17
2017-03-15,17.299999,14.75,33.32
2017-03-16,17.280001,14.38,32.529999
2017-03-17,17.209999,13.85,31.299999
2017-03-20,17.639999,14.18,31.629999
2017-03-21,17.42,13.7,29.040001
2017-03-22,17.309999,14.15,29.4
2017-03-23,17.440001,14.14,29.24
2017-03-24,17.629999,14.17,29
2017-03-27,17.790001,14.43,29.389999
2017-03-28,17.940001,14.68,29.809999
2017-03-29,18.18,15.16,30.110001
2017-03-30,18.27,15.1,30.1
2017-03-31,18.24,15.15,29.790001
2017-04-03,18,15.32,29.51
2017-04-04,18.110001,15.43,30.65
2017-04-05,17.879999,15.33,29.450001
2017-04-06,17.98,15.28,28.91
2017-04-07,18.049999,15.37,29.15
2017-04-10,18,15.63,29.030001
2017-04-11,17.620001,15.25,28.66
2017-04-12,17.67,15.19,27.42
2017-04-13,17.76,14.51,27.42
2017-04-17,18.059999,14.65,27.43
2017-04-18,18.16,14.46,26.610001
2017-04-19,18.1,14.05,26.67
2017-04-20,17.98,14.27,28.049999
2017-04-24,18.030001,14.39,27.450001
2017-04-25,18.32,14.68,28.35
2017-04-26,18.209999,14.42,27.73
2017-04-27,18.200001,14.2,26.83
2017-04-28,18.26,14.36,27.469999
2017-05-02,18.57,14.36,28.059999
2017-05-03,18.559999,14.45,26.32
2017-05-04,19.030001,14.06,25.35
2017-05-05,18.9,14.81,26.049999
2017-05-08,18.889999,14.72,26.030001
2017-05-09,18.950001,14.88,26.5
2017-05-10,19.190001,15.35,26.559999
2017-05-11,19.530001,15.32,26.32
