data,open,high,low,close,volume,adjusted,quart,quint,seg,sext,terc
2017-01-02,25.280001,25.49,25.049999,25.059999,1118500,22.465153,0,0,1,0,0
2017-01-03,25.51,26.17,25.4,26.17,5658500,23.46022,0,0,0,0,1
2017-01-04,26.059999,26.23,25.360001,25.700001,2144400,23.038883,1,0,0,0,0
2017-01-05,25.98,26.9,25.780001,26.68,4031600,23.91741,0,1,0,0,0
2017-01-06,26.290001,26.59,25.860001,25.969999,4213500,23.280928,0,0,0,1,0
2017-01-09,26.299999,26.85,26.27,26.5,3407800,23.756048,0,0,1,0,0
2017-01-10,27.42,28.540001,27.42,28.540001,3606500,25.584818,0,0,0,0,1
2017-01-11,28.809999,29.190001,28.33,29.129999,3499900,26.113722,1,0,0,0,0
2017-01-12,30.08,30.42,29.709999,30.07,5500500,26.95639,0,1,0,0,0
2017-01-13,29.889999,31.200001,29.700001,30.98,4424800,27.772161,0,0,0,1,0
2017-01-16,31.200001,32.110001,31.200001,31.82,2018500,28.525185,0,0,1,0,0
2017-01-17,31.23,31.299999,30.49,30.57,5968500,27.404619,0,0,0,0,1
2017-01-18,30.35,32.689999,30.35,32.110001,14846300,28.785156,1,0,0,0,0
2017-01-19,32,32.02,31.030001,31.469999,5303100,28.211428,0,1,0,0,0
2017-01-20,30.99,32.43,30.950001,32.099998,6309700,28.776192000000002,0,0,0,1,0
2017-01-23,32.209999,33.48,32.189999,33.310001,4369600,29.860907,0,0,1,0,0
2017-01-24,34.07,34.720001,33.27,34.130001,5373900,30.595999,0,0,0,0,1
2017-01-26,34.419998,34.630001,33.599998,33.599998,5274700,30.120872,0,1,0,0,0
2017-01-27,33.48,34.200001,33.41,33.700001,3244000,30.210522,0,0,0,1,0
2017-01-30,33.220001,33.490002,32.139999,32.25,3136800,28.910662,0,0,1,0,0
2017-01-31,32.700001,32.950001,32.110001,32.18,4067300,28.84791,0,0,0,0,1
2017-02-01,32.700001,33.509998,32.68,32.889999,5928500,29.484394,1,0,0,0,0
2017-02-02,32.41,33.439999,32.41,32.66,4024400,29.278208,0,1,0,0,0
2017-02-03,32,32,30.389999,30.610001,6833500,27.440475,0,0,0,1,0
2017-02-06,30.66,30.77,29.870001,29.92,3554600,26.821922,0,0,1,0,0
2017-02-07,30.639999,31.33,30.08,30.24,4297100,27.108789,0,0,0,0,1
2017-02-08,30.790001,30.82,30.040001,30.59,3867100,27.422546,1,0,0,0,0
2017-02-09,30.52,31.35,30.26,31.08,4011900,27.861811,0,1,0,0,0
2017-02-10,32.16,32.799999,32.099998,32.799999,5036400,29.403713,0,0,0,1,0
2017-02-13,34.209999,35.849998,34.02,35.810001,11344600,32.102039,0,0,1,0,0
2017-02-14,35.529999,35.560001,34.029999,34.400002,4651000,30.838039,0,0,0,0,1
2017-02-15,34.700001,34.75,33.689999,33.82,6626600,30.318098,1,0,0,0,0
2017-02-16,33.779999,34.439999,33.619999,33.77,5231900,30.273272,0,1,0,0,0
2017-02-17,33.610001,34.299999,33.389999,34.07,5909200,30.542208,0,0,0,1,0
2017-02-20,35.889999,36.560001,35.779999,36.43,6047300,32.657841,0,0,1,0,0
2017-02-21,36.84,37.279999,35.279999,35.540001,6307900,31.859999,0,0,0,0,1
2017-02-22,35.330002,35.330002,34.029999,34.689999,6845300,31.098007,1,0,0,0,0
2017-02-23,35.189999,35.25,32.799999,33.169998,12566100,29.735397,0,1,0,0,0
2017-02-24,32.150002,33.91,32,32.720001,9984400,29.331999,0,0,0,1,0
2017-03-01,33.049999,33.380001,32.849998,33.169998,3262200,29.735397,1,0,0,0,0
2017-03-02,33.299999,33.599998,31.35,31.459999,6860100,28.202461,0,1,0,0,0
2017-03-03,31.889999,32.290001,31.360001,31.82,6887300,28.525185,0,0,0,1,0
2017-03-06,31.4,31.610001,30.68,31.1,6393900,27.879738,0,0,1,0,0
2017-03-07,31.190001,31.870001,30.799999,30.92,6653500,27.71838,0,0,0,0,1
2017-03-08,31.219999,31.35,29.83,30.120001,5789100,27.001215,1,0,0,0,0
2017-03-09,29.450001,30.58,29.07,30.18,8743900,27.055,0,1,0,0,0
2017-03-10,30.66,31.02,29.65,29.65,5574100,26.579882,0,0,0,1,0
2017-03-13,30.74,31.379999,30.700001,31.01,5780300,27.799059,0,0,1,0,0
2017-03-14,30.75,31.5,30.290001,31.17,4101000,27.94249,0,0,0,0,1
2017-03-15,31.91,33.32,31.57,33.32,7401600,29.869865,1,0,0,0,0
2017-03-16,33.619999,33.84,32.279999,32.529999,4529000,29.161667,0,1,0,0,0
2017-03-17,32.689999,32.77,31.299999,31.299999,14673300,28.059031,0,0,0,1,0
2017-03-20,31.15,31.889999,30.9,31.629999,3340900,28.354858,0,0,1,0,0
2017-03-21,30.889999,30.969999,28.950001,29.040001,6509400,26.033043,0,0,0,0,1
2017-03-22,28.450001,30.08,28.290001,29.4,7020200,26.355766,1,0,0,0,0
2017-03-23,29.040001,29.629999,28.43,29.24,7074400,26.212334,0,1,0,0,0
2017-03-24,29.5,29.51,28.549999,29,3917800,25.997185,0,0,0,1,0
2017-03-27,27.99,29.620001,27.25,29.389999,6849000,26.346802,0,0,1,0,0
2017-03-28,29.67,30,29.360001,29.809999,4456400,26.723312,0,0,0,0,1
2017-03-29,30.08,30.52,29.549999,30.110001,3106200,26.99225,1,0,0,0,0
2017-03-30,30,30.389999,29.75,30.1,2264400,26.983284,0,1,0,0,0
2017-03-31,29.530001,30.35,29.290001,29.790001,4009400,26.705383,0,0,0,1,0
2017-04-03,29.809999,30,29.09,29.51,4092200,26.454376,0,0,1,0,0
2017-04-04,29.559999,30.709999,29.299999,30.65,2444400,27.476336,0,0,0,0,1
2017-04-05,31,31.48,29.27,29.450001,6253600,26.400589,1,0,0,0,0
2017-04-06,29.73,29.889999,28.65,28.91,5813500,25.916504,0,1,0,0,0
2017-04-07,28.200001,29.540001,27.93,29.15,7506100,26.131655,0,0,0,1,0
2017-04-10,29.139999,29.27,28.379999,29.030001,3787400,26.024078,0,0,1,0,0
2017-04-11,29.08,29.290001,27.82,28.66,5097200,25.692392,0,0,0,0,1
2017-04-12,27.6,28,27.280001,27.42,6287000,24.580786,1,0,0,0,0
2017-04-13,27.379999,27.9,27.280001,27.42,4377900,24.580786,0,1,0,0,0
2017-04-17,27.25,27.469999,26.68,27.43,5372400,24.589752,0,0,1,0,0
2017-04-18,26.549999,26.76,26.15,26.610001,7202100,23.854658,0,0,0,0,1
2017-04-19,26.9,27.440001,26.540001,26.67,6326900,23.908443,1,0,0,0,0
2017-04-20,27.290001,28.1,27.120001,28.049999,4599100,25.145552,0,1,0,0,0
2017-04-24,27.950001,27.959999,27.09,27.450001,3353600,25.428625,0,0,1,0,0
2017-04-25,27.32,28.35,27.120001,28.35,4663300,26.26235,0,0,0,0,1
2017-04-26,28.290001,28.59,27.73,27.73,5958400,25.688004,1,0,0,0,0
2017-04-27,27.889999,28.16,26.42,26.83,9359600,24.854279,0,1,0,0,0
2017-04-28,27.139999,27.709999,27.07,27.469999,4813800,25.447149,0,0,0,1,0
2017-05-02,27.700001,28.18,27.6,28.059999,7808800,25.993704,0,0,0,0,1
2017-05-03,27.6,27.709999,26.309999,26.32,7963600,24.381832,1,0,0,0,0
2017-05-04,25.950001,25.950001,25.059999,25.35,7726700,23.483267,0,1,0,0,0
2017-05-05,25.200001,26.4,25.200001,26.049999,4286600,24.131716,0,0,0,1,0
2017-05-08,26,26.15,25.43,26.030001,4552200,24.11319,0,0,1,0,0
2017-05-09,26.4,26.82,26.18,26.5,3980000,24.548578,0,0,0,0,1
2017-05-10,26.879999,27.049999,26.18,26.559999,4532500,24.60416,1,0,0,0,0
2017-05-11,26.620001,26.709999,26.18,26.32,3413600,24.381832,0,1,0,0,0
2017-05-12,26.68,26.700001,25.74,25.91,3855800,24.002026,0,0,0,1,0
2017-05-15,26.07,26.65,25.92,26.65,7381800,24.687532,0,0,1,0,0
2017-05-16,26.82,27.42,26.68,27.26,7050000,25.252615,0,0,0,0,1
2017-05-17,27.33,27.48,26.629999,26.84,5442000,24.863541,1,0,0,0,0
2017-05-18,25,27.4,25,26.860001,20151200,24.882069,0,1,0,0,0
2017-05-19,27.15,27.969999,27,27.25,6492700,25.243349,0,0,0,1,0
2017-05-22,27.25,28.17,26.92,27.92,7988700,25.864014,0,0,1,0,0
2017-05-23,27.75,28.360001,27.16,28.26,5465400,26.178976,0,0,0,0,1
2017-05-24,28.129999,28.129999,27.27,27.52,4327900,25.493469,1,0,0,0,0
2017-05-25,27.51,27.940001,27.15,27.700001,3999300,25.660213,0,1,0,0,0
2017-05-26,27.49,27.92,27.33,27.860001,2957000,25.808432,0,0,0,1,0
2017-05-29,27.860001,27.860001,27.860001,27.860001,0,25.808432,0,0,1,0,0
2017-05-30,28.15,28.9,27.92,28.6,3075700,26.493938,0,0,0,0,1
2017-05-31,28.200001,28.27,26.870001,27.17,9452200,25.169241,1,0,0,0,0
2017-06-01,27.15,27.370001,26.49,26.67,6907500,24.70606,0,1,0,0,0
2017-06-02,26.9,26.99,26.389999,26.780001,2607700,24.807962,0,0,0,1,0
2017-06-05,26.35,26.65,26.219999,26.49,3460900,24.539316,0,0,1,0,0
2017-06-06,26.309999,27.16,26.309999,26.58,5873900,24.622688,0,0,0,0,1
2017-06-07,26.9,27.040001,26.33,26.450001,5915000,24.502262,1,0,0,0,0
2017-06-08,26.35,27.280001,26.32,27.02,5173400,25.030289,0,1,0,0,0
2017-06-09,27.16,27.540001,26.93,27.299999,5224300,25.289667,0,0,0,1,0
2017-06-12,27.389999,27.51,26.530001,26.84,5193200,24.863541,0,0,1,0,0
2017-06-13,26.65,26.889999,26.15,26.370001,4573400,24.428154,0,0,0,0,1
2017-06-14,26.639999,26.73,25.809999,26.1,7635700,24.178034,1,0,0,0,0
2017-06-15,26.1,26.1,26.1,26.1,0,24.178034,0,1,0,0,0
2017-06-16,25.809999,26.01,25.4,25.559999,13039700,23.677799,0,0,0,1,0
2017-06-19,25.99,26.889999,25.9,26.389999,5766200,24.446678,0,0,1,0,0
2017-06-20,26.120001,26.139999,25.52,25.709999,4380800,23.816753,0,0,0,0,1
2017-06-21,25.9,26.780001,25.799999,26.469999,2751800,24.520788,1,0,0,0,0
2017-06-22,26.450001,27.51,26.32,27.02,4726200,25.030289,0,1,0,0,0
2017-06-23,27.02,27.49,26.77,27.24,4854600,25.234087,0,0,0,1,0
2017-06-26,27.34,27.67,27.299999,27.469999,4047300,25.447149,0,0,1,0,0
2017-06-27,28.35,28.950001,27.889999,27.92,7473000,25.864014,0,0,0,0,1
2017-06-28,28.51,28.879999,28.34,28.790001,8527200,26.669949,1,0,0,0,0
2017-06-29,29.120001,29.370001,28.51,28.9,4333400,26.771847,0,1,0,0,0
2017-06-30,28.950001,29.190001,28.66,29,4749000,26.864483,0,0,0,1,0
2017-07-03,29.26,29.709999,29.1,29.65,2172000,27.466616,0,0,1,0,0
2017-07-04,29.459999,29.620001,29.360001,29.620001,1058400,27.438828,0,0,0,0,1
2017-07-05,29.629999,29.85,28.719999,28.93,6447900,26.799639,1,0,0,0,0
2017-07-06,28.84,28.98,28.440001,28.92,4847500,26.790375,0,1,0,0,0
2017-07-07,29.120001,29.379999,28.43,28.889999,4652000,26.762581,0,0,0,1,0
2017-07-10,28.9,29.75,28.620001,29.709999,5053400,27.5222,0,0,1,0,0
2017-07-11,29.83,30.09,29.639999,30.040001,4949900,27.8279,0,0,0,0,1
2017-07-12,30.200001,30.290001,29.469999,29.9,8527700,27.69821,1,0,0,0,0
2017-07-13,30.110001,30.24,29.02,29.18,7776800,27.031229,0,1,0,0,0
2017-07-14,29.450001,29.709999,29.299999,29.52,3751600,27.346191,0,0,0,1,0
2017-07-17,29.85,30.27,29.639999,29.719999,4661400,27.531462,0,0,1,0,0
2017-07-18,29.9,30.040001,29.52,29.9,4000600,27.69821,0,0,0,0,1
2017-07-19,30.01,30.17,29.73,29.9,4403100,27.69821,1,0,0,0,0
2017-07-20,29.83,29.83,28.65,28.719999,5930800,26.605101,0,1,0,0,0
2017-07-21,28.700001,29.040001,28.32,28.5,5482100,26.4013,0,0,0,1,0
2017-07-24,28.620001,29.16,28.5,29.129999,4207500,26.984907,0,0,1,0,0
